Backward_weight,NMAE,NMSE,R2,Error ratio
1.00E+00,6.72E-02,2.37E-02,9.73E-01,2.65E-01
7.00E-01,6.73E-02,3.14E-02,9.64E-01,3.01E-01
1.10E+00,6.84E-02,3.32E-02,9.62E-01,3.09E-01
5.00E-01,6.81E-02,3.49E-02,9.60E-01,3.16E-01
8.00E-01,6.81E-02,3.69E-02,9.57E-01,3.21E-01
1.80E+00,6.86E-02,3.74E-02,9.57E-01,3.25E-01
1.60E+00,6.87E-02,3.70E-02,9.57E-01,3.26E-01
9.00E-01,6.83E-02,3.75E-02,9.57E-01,3.26E-01
3.00E-01,6.88E-02,3.93E-02,9.55E-01,3.30E-01
1.40E+00,6.89E-02,3.86E-02,9.55E-01,3.32E-01
4.00E-01,6.93E-02,4.26E-02,9.51E-01,3.39E-01
1.00E-01,6.85E-02,4.17E-02,9.52E-01,3.41E-01
1.20E+00,6.93E-02,4.31E-02,9.50E-01,3.43E-01
2.00E-01,6.92E-02,4.50E-02,9.48E-01,3.49E-01
6.00E-01,6.96E-02,4.60E-02,9.47E-01,3.54E-01
1.70E+00,6.97E-02,4.53E-02,9.48E-01,3.62E-01
1.30E+00,6.99E-02,4.99E-02,9.42E-01,3.63E-01
1.90E+00,6.99E-02,5.00E-02,9.42E-01,3.67E-01
1.50E+00,7.01E-02,5.20E-02,9.40E-01,3.73E-01