Recovery_loss_weight,NMAE,NMSE,R2,Error ratio
8.90E-01,6.92E-02,2.82E-02,9.67E-01,2.86E-01
9.20E-01,6.93E-02,2.81E-02,9.68E-01,2.89E-01
1.14E+00,7.01E-02,3.54E-02,9.59E-01,3.08E-01
9.30E-01,7.03E-02,3.28E-02,9.62E-01,3.10E-01
1.00E+00,6.99E-02,3.45E-02,9.60E-01,3.11E-01
1.15E+00,7.02E-02,3.43E-02,9.60E-01,3.13E-01
1.09E+00,7.03E-02,3.59E-02,9.58E-01,3.15E-01
1.11E+00,7.02E-02,3.55E-02,9.59E-01,3.18E-01
8.80E-01,6.97E-02,3.67E-02,9.58E-01,3.18E-01
9.10E-01,7.05E-02,3.62E-02,9.58E-01,3.20E-01
9.80E-01,7.08E-02,3.64E-02,9.58E-01,3.20E-01
1.06E+00,7.00E-02,3.62E-02,9.58E-01,3.23E-01
9.90E-01,7.06E-02,3.71E-02,9.57E-01,3.25E-01
1.12E+00,6.99E-02,3.64E-02,9.58E-01,3.25E-01
1.03E+00,7.04E-02,3.69E-02,9.57E-01,3.26E-01
9.40E-01,7.01E-02,3.84E-02,9.56E-01,3.26E-01
9.70E-01,7.11E-02,3.76E-02,9.57E-01,3.26E-01
1.19E+00,6.98E-02,3.83E-02,9.56E-01,3.26E-01
1.17E+00,7.06E-02,3.93E-02,9.55E-01,3.28E-01
1.02E+00,7.06E-02,4.04E-02,9.53E-01,3.29E-01
1.13E+00,7.04E-02,4.04E-02,9.53E-01,3.30E-01
9.60E-01,7.06E-02,3.98E-02,9.54E-01,3.32E-01
9.50E-01,7.01E-02,3.92E-02,9.55E-01,3.33E-01
1.05E+00,7.08E-02,3.99E-02,9.54E-01,3.35E-01
1.16E+00,7.02E-02,4.18E-02,9.52E-01,3.37E-01
1.07E+00,7.11E-02,4.10E-02,9.53E-01,3.41E-01
1.04E+00,7.12E-02,4.58E-02,9.47E-01,3.47E-01
8.70E-01,7.10E-02,4.63E-02,9.47E-01,3.53E-01
1.08E+00,7.07E-02,4.40E-02,9.49E-01,3.54E-01
8.60E-01,7.11E-02,4.90E-02,9.43E-01,3.56E-01
1.01E+00,7.17E-02,4.68E-02,9.46E-01,3.57E-01
9.00E-01,7.17E-02,4.59E-02,9.47E-01,3.58E-01
1.18E+00,7.10E-02,4.90E-02,9.43E-01,3.66E-01
1.10E+00,7.21E-02,5.10E-02,9.41E-01,3.67E-01
8.50E-01,7.22E-02,5.83E-02,9.33E-01,3.92E-01
8.40E-01,7.30E-02,6.14E-02,9.29E-01,3.94E-01
8.30E-01,7.42E-02,7.00E-02,9.19E-01,4.15E-01
8.10E-01,7.99E-02,1.09E-01,8.74E-01,4.67E-01
8.20E-01,7.91E-02,1.18E-01,8.64E-01,4.95E-01
8.00E-01,8.56E-02,1.57E-01,8.19E-01,5.22E-01