Forward_weight,NMAE,NMSE,R2,Error ratio
1.90E+00,7.56E-02,4.25E-02,9.51E-01,3.36E-01
2.30E+00,7.56E-02,4.67E-02,9.46E-01,3.58E-01
2.50E+00,7.57E-02,5.29E-02,9.39E-01,3.76E-01
2.10E+00,7.73E-02,5.56E-02,9.36E-01,3.76E-01
2.40E+00,7.59E-02,5.24E-02,9.39E-01,3.76E-01
2.70E+00,7.60E-02,5.27E-02,9.39E-01,3.77E-01
2.80E+00,7.61E-02,5.24E-02,9.39E-01,3.79E-01
2.00E+00,7.70E-02,5.76E-02,9.33E-01,3.89E-01
2.60E+00,7.65E-02,5.75E-02,9.34E-01,3.90E-01
1.50E+00,7.79E-02,6.03E-02,9.30E-01,3.93E-01
2.90E+00,7.68E-02,5.79E-02,9.33E-01,3.94E-01
1.80E+00,7.75E-02,6.03E-02,9.30E-01,3.97E-01
1.40E+00,7.88E-02,6.62E-02,9.24E-01,3.97E-01
1.70E+00,7.75E-02,6.15E-02,9.29E-01,3.98E-01
1.30E+00,7.90E-02,6.73E-02,9.22E-01,4.00E-01
2.20E+00,7.78E-02,6.57E-02,9.24E-01,4.07E-01
1.00E+00,8.09E-02,7.25E-02,9.16E-01,4.08E-01
1.10E+00,8.04E-02,7.10E-02,9.18E-01,4.10E-01
1.60E+00,7.87E-02,6.82E-02,9.21E-01,4.11E-01
9.00E-01,8.20E-02,8.01E-02,9.07E-01,4.17E-01
1.20E+00,8.01E-02,7.53E-02,9.13E-01,4.20E-01
8.00E-01,8.53E-02,1.08E-01,8.75E-01,4.63E-01
7.00E-01,9.00E-02,1.39E-01,8.40E-01,4.87E-01
6.00E-01,9.16E-02,1.54E-01,8.22E-01,5.08E-01
5.00E-01,9.41E-02,1.81E-01,7.91E-01,5.29E-01